doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
course-registration-student,data/k3_university_services/course-registration-student.md,Quy định về đăng ký học phần và khối lượng học tập dành cho sinh viên,https://ctt.hust.edu.vn/Display/DisplayMNews?NewsID=582,2026-08-03,not-stated,public-page
course-registration-faculty,data/k3_university_services/course-registration-faculty.md,Quy định về tư vấn và phê duyệt kế hoạch học tập dành cho Giảng viên và Cố vấn học tập,https://ctt.hust.edu.vn/Display/DisplayMNews?NewsID=789,2026-08-03,not-stated,public-page
tuition-policy,data/k3_university_services/tuition-policy.md,Quy định về mức thu học phí thời hạn nộp và chính sách miễn giảm học phí,https://ctt.hust.edu.vn/Display/DisplayMNews?NewsID=1205,2026-08-03,not-stated,public-page
scholarship-policy,data/k3_university_services/scholarship-policy.md,Quy định về xét cấp học bổng khuyến khích học tập dành cho sinh viên,https://ctt.hust.edu.vn/Display/DisplayMNews?NewsID=1204,2026-08-03,not-stated,public-page
library-services,data/k3_university_services/library-services.md,Quy định sử dụng dịch vụ thư viện và quy tắc mượn trả tài liệu,https://library.hust.edu.vn/quy-dinh-su-dung-thu-vien,2026-08-03,not-stated,public-page
dormitory-regulations,data/k3_university_services/dormitory-regulations.md,Nội quy quản lý và quy định lưu trú Ký túc xá sinh viên,https://ktx.hust.edu.vn/noi-quy-ky-tuc-xa,2026-08-03,not-stated,public-page
course-equivalency-policy,data/k3_university_services/course-equivalency-policy.md,Quy định về học phần tương đương và học phần thay thế,https://ctt.hust.edu.vn/Display/DisplayMNews?NewsID=789,2026-08-03,not-stated,public-page
