doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hoc-bong-diem-ren-luyen,data/uet_handbook/hoc-bong-diem-ren-luyen.md,Học bổng và đánh giá điểm rèn luyện,https://handbook.uet.vnu.edu.vn/H%E1%BB%8Dc%20b%E1%BB%95ng/,2026-08-03,not-stated,public-page
hoc-phi-che-do-chinh-sach,data/uet_handbook/hoc-phi-che-do-chinh-sach.md,Học phí và chế độ chính sách,https://handbook.uet.vnu.edu.vn/H%E1%BB%8Dc%20ph%C3%AD%20-%20Ch%E1%BA%BF%20%C4%91%E1%BB%99%20ch%C3%ADnh%20s%C3%A1ch/,2026-08-03,not-stated,public-page
kham-chua-benh,data/uet_handbook/kham-chua-benh.md,Khám chữa bệnh cho sinh viên UET,https://handbook.uet.vnu.edu.vn/Kh%C3%A1m%20ch%E1%BB%AFa%20b%E1%BB%87nh/,2026-08-03,not-stated,public-page
ky-tuc-xa,data/uet_handbook/ky-tuc-xa.md,Thông tin ký túc xá cho sinh viên UET,https://handbook.uet.vnu.edu.vn/K%C3%BD%20t%C3%BAc%20x%C3%A1/,2026-08-03,not-stated,public-page
lich-su-truyen-thong,data/uet_handbook/lich-su-truyen-thong.md,Lịch sử và truyền thống Trường Đại học Công nghệ,https://uet.vnu.edu.vn/lich-su/,2026-08-03,not-stated,public-page
thong-tin-lien-he,data/uet_handbook/thong-tin-lien-he.md,Thông tin liên hệ các đơn vị UET,https://handbook.uet.vnu.edu.vn/Th%C3%B4ng%20tin%20li%C3%AAn%20h%E1%BB%87/,2026-08-03,not-stated,public-page
thu-tuc-hanh-chinh-mot-cua,data/uet_handbook/thu-tuc-hanh-chinh-mot-cua.md,Thủ tục hành chính một cửa cho sinh viên UET,https://handbook.uet.vnu.edu.vn/Th%E1%BB%A7%20t%E1%BB%A5c%20h%C3%A0nh%20ch%C3%ADnh%20m%E1%BB%99t%20c%E1%BB%ADa/,2026-08-03,not-stated,public-page
