doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
vinuni-student-portal,data/vinuni_university/vinuni-student-portal.md,Cổng thông tin sinh viên VinUni,https://vinuni.edu.vn/vi/cong-thong-tin-sinh-vien-vi/,2026-08-03,not-stated,public-page
vinuni-academic-policy-regulations,data/vinuni_university/vinuni-academic-policy-regulations.md,Chính sách & Quy định học thuật (Registrar),https://registrar.vinuni.edu.vn/vi/hoc-thuat-dich-vu/chinh-sach-quy-dinh/,2026-08-03,not-stated,public-page
vinuni-tuition-financial-support,data/vinuni_university/vinuni-tuition-financial-support.md,Học phí và Hỗ trợ tài chính,https://admissions.vinuni.edu.vn/vi/hoc-phi-va-ho-tro-tai-chinh/,2026-08-03,not-stated,public-page
vinuni-admissions-homepage,data/vinuni_university/vinuni-admissions-homepage.md,Trang chủ Tuyển sinh VinUni,https://admissions.vinuni.edu.vn/vi/trang-chu/,2026-08-03,not-stated,public-page
vinuni-scholarship-maintenance-criteria,data/vinuni_university/vinuni-scholarship-maintenance-criteria.md,Guidelines for Maintaining Entry Scholarship and Financial Aid Support,https://policy.vinuni.edu.vn/all-policies/criteria-to-maintain-the-entry-scholarship-and-financial-aid-support/,2026-08-03,not-stated,public-page
vinuni-library-about,data/vinuni_university/vinuni-library-about.md,About Us — VinUni Library,https://library.vinuni.edu.vn/about-us/,2026-08-03,not-stated,public-page
vinuni-library-borrowing-privilege,data/vinuni_university/vinuni-library-borrowing-privilege.md,Borrowing Privilege — VinUni Library,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-08-03,not-stated,public-page
vinuni-residential-life-guideline,data/vinuni_university/vinuni-residential-life-guideline.md,Residential Life Guideline,https://policy.vinuni.edu.vn/all-policies/residential-life-guideline/,2026-08-03,not-stated,public-page
