doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
rmit-accessibility-resources,data\rmit-library\rmit-accessibility-resources.md,Resources for students with a disability,https://www.rmit.edu.vn/libraryvn/student-support/resources-for-students-with-a-disability,2026-08-03,not-stated,public-page
rmit-borrowing-returning,data\rmit-library\rmit-borrowing-returning.md,Borrowing and returning,https://www.rmit.edu.vn/libraryvn/borrowing-and-resources/borrowing-and-returning,2026-08-03,not-stated,public-page
rmit-course-content-support,data\rmit-library\rmit-course-content-support.md,Develop course content,https://www.rmit.edu.vn/libraryvn/teacher-support/developing-course-content,2026-08-03,not-stated,public-page
rmit-library-hours,data\rmit-library\rmit-library-hours.md,Library hours and locations,https://www.rmit.edu.vn/libraryvn/about-us/hours-and-locations,2026-08-03,not-stated,public-page
rmit-library-resources,data\rmit-library\rmit-library-resources.md,Library resources and collections,https://www.rmit.edu.vn/libraryvn/borrowing-and-resources/library-resources,2026-08-03,not-stated,public-page
rmit-library-rules,data\rmit-library\rmit-library-rules.md,RMIT Vietnam Library rules,https://www.rmit.edu.vn/libraryvn/about-us,2026-08-03,not-stated,public-page
rmit-study-faq,data\rmit-library\rmit-study-faq.md,Study FAQs,https://www.rmit.edu.vn/libraryvn/student-support/study-faq,2026-08-03,not-stated,public-page
rmit-study-room-booking,data\rmit-library\rmit-study-room-booking.md,Book a study room,https://www.rmit.edu.vn/libraryvn/student-support/book-a-study-room,2026-08-03,not-stated,public-page
rmit-teacher-workshops,data\rmit-library\rmit-teacher-workshops.md,Workshops and consultations for students,https://www.rmit.edu.vn/libraryvn/teacher-support/organise-workshops-and-consultations-for-your-students,2026-08-03,not-stated,public-page
