doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hust-course-registration-20261,data/quy-dinh-sinh-vien-hust/hust-course-registration-20261.md,Kế hoạch đăng ký lớp học kỳ 1 năm học 2026-2027,https://ctt.hust.edu.vn/DisplayWeb/DisplayBaiViet?baiviet=50623,2026-08-03,2026-07-20,public-page
hust-integrated-engineer-registration-20253,data/quy-dinh-sinh-vien-hust/hust-integrated-engineer-registration-20253.md,Kế hoạch đăng ký học tích hợp chương trình kỹ sư chuyên sâu học kỳ 2025.3,https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=30241,2026-08-03,2026-07-27,public-page
hust-academic-regulations-2025,data/quy-dinh-sinh-vien-hust/hust-academic-regulations-2025.md,Quy chế đào tạo của Đại học Bách khoa Hà Nội năm 2025,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/QCDT_2025_5445_QD-DHBK.pdf,2026-08-03,2025-05-28,public-document
hust-academic-regulations-2025-changes,data/quy-dinh-sinh-vien-hust/hust-academic-regulations-2025-changes.md,Các điểm cập nhật của Quy chế đào tạo HUST năm 2025,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/Diem%20moi%20cua%20QCDT%202025.pdf,2026-08-03,2025-05-28,public-document
hust-foreign-language-regulations-k70,data/quy-dinh-sinh-vien-hust/hust-foreign-language-regulations-k70.md,Quy định ngoại ngữ đối với sinh viên chính quy từ khóa K70,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_QDQC/Hoctap/06_%20Quy%20%C4%91%E1%BB%8Bnh%20ngo%E1%BA%A1i%20ng%E1%BB%AF%20t%E1%BB%AB%20K70_ch%C3%ADnh%20quy_final.pdf,2026-08-03,2025-09-26,public-document
hust-engineer-course-recognition-guide,data/quy-dinh-sinh-vien-hust/hust-engineer-course-recognition-guide.md,Hướng dẫn công nhận học phần vào chương trình kỹ sư chuyên sâu,https://ctt.hust.edu.vn/Upload/Nguy%E1%BB%85n%20Qu%E1%BB%91c%20%C4%90%E1%BA%A1t/files/DTDH_KSCS/02_%20H%C6%B0%E1%BB%9Bng%20d%E1%BA%ABn%20c%C3%B4ng%20nh%E1%BA%ADn%20h%E1%BB%8Dc%20ph%E1%BA%A7n%20v%C3%A0o%20CT%C4%90T%20KSCS.pdf,2026-08-03,2025-01-23,public-document
hust-advanced-engineer-program-regulations,data/quy-dinh-sinh-vien-hust/hust-advanced-engineer-program-regulations.md,Quy định đào tạo kỹ sư chuyên sâu 180 tín chỉ,https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/03_%20Quy%20%C4%91%E1%BB%8Bnh%20%C4%91%C3%A0o%20t%E1%BA%A1o%20KS%20180%20TC_signed.pdf,2026-08-03,2024-07-29,public-document
